MODULE,THREADS,SCRIPT,MODEL,TIME,TIME_STDEV,SPEEDUP,EFFICIENCY,MEMORY,MEMORY_STDEV,MEMORY_DELTA
EolModuleParallel,16,imdb_parallelSelectOne,imdb-1.0,14652,796,8.147,0.509,4645,2108,0.866
EolModuleParallel,16,imdb_parallelSelectOne,imdb-2.0,47376,771,8.992,0.562,7535,2173,1.01
EolModuleParallel,16,imdb_parallelSelectOne,imdb-2.5,68372,1375,9.273,0.58,9857,535,0.734
EolModuleParallel,16,imdb_parallelSelectOne,imdb-all,142391,3591,9.51,0.594,11967,2203,0.951
EolModuleParallel,16,imdb_parallelSelect,imdb-0.1,11624,141,10.327,0.645,4334,2900,0.066
EolModuleParallel,16,imdb_parallelSelect,imdb-0.5,50556,255,11.309,0.707,6360,1612,0.057
EolModuleParallel,16,imdb_parallelSelect,imdb-1.0,115316,648,11.228,0.702,4568,660,0.227
EolModuleParallel,16,imdb_parallelSelect,imdb-2.5,376253,3996,12.198,0.762,5305,2340,0.102
EolModuleParallel,16,imdb_parallelSelect,imdb-all,621650,23297,12.438,0.777,4002,2792,0.217
EolModuleParallel,2,imdb_parallelSelectOne,imdb-0.1,4612,107,1.709,0.855,657,63,0.83
EolModuleParallel,2,imdb_parallelSelectOne,imdb-0.5,23263,641,1.776,0.888,3019,799,0.691
EolModuleParallel,2,imdb_parallelSelectOne,imdb-1.0,68258,1924,1.749,0.875,4073,334,0.987
EolModuleParallel,2,imdb_parallelSelectOne,imdb-2.5,337241,5796,1.88,0.94,8812,2010,0.821
EolModuleParallel,2,imdb_parallelSelectOne,imdb-all,705502,5044,1.919,0.96,9192,1254,1.239
EolModuleParallel,2,imdb_parallelSelect,imdb-0.1,64218,2504,1.869,0.934,408,266,0.696
EolModuleParallel,2,imdb_parallelSelect,imdb-0.5,285245,9033,2.004,1.002,2258,1077,0.16
EolModuleParallel,2,imdb_parallelSelect,imdb-1.0,671873,31236,1.927,0.964,4064,2239,0.256
EolModuleParallel,2,imdb_parallelSelect,imdb-2.5,2284836,122370,2.009,1.004,2419,1027,0.224
EolModuleParallel,2,imdb_parallelSelect,imdb-all,3915104,52893,1.975,0.988,1464,879,0.594
EolModuleParallel,32,imdb_parallelSelectOne,imdb-0.1,2114,283,3.729,0.117,983,31,0.554
EolModuleParallel,32,imdb_parallelSelectOne,imdb-0.5,6735,460,6.133,0.192,4036,1892,0.517
EolModuleParallel,32,imdb_parallelSelectOne,imdb-1.0,13286,716,8.985,0.281,6042,2356,0.666
EolModuleParallel,32,imdb_parallelSelectOne,imdb-2.0,42726,951,9.97,0.312,7302,2273,1.042
EolModuleParallel,32,imdb_parallelSelectOne,imdb-2.5,61983,659,10.229,0.32,7465,2396,0.97
EolModuleParallel,32,imdb_parallelSelectOne,imdb-all,126143,2335,10.735,0.335,12088,2510,0.942
EolModuleParallel,32,imdb_parallelSelect,imdb-0.1,11869,107,10.113,0.316,2052,885,0.138
EolModuleParallel,32,imdb_parallelSelect,imdb-0.5,50995,115,11.211,0.35,4260,2581,0.085
EolModuleParallel,32,imdb_parallelSelect,imdb-1.0,115068,736,11.253,0.352,4045,2282,0.257
